,listing_id,id,date,reviewer_id,reviewer_name,comments,scores
0,5731498,29457107,2015-04-07,23095855,Paolo,"The house is beautiful, we were the first guests and everything was perfect. the house is actually a typical town center house with kind of courtyard, but more than anything else: it is in the very center of plaka, in the middle of it all. 
Furniture classy design (design chairs of XX century masters) and all comforts.
George was very helpful: we needed a hair dryer and he got it to us the first day. Also very nice in arranging times of departure and baggage drop off. Really, super. Thanks",5
1,5731498,31016835,2015-04-30,31804508,Catherine,"Magnifique maison bourgeoise au centre de Plaka, au coeur de la vieille ville et tout au pied de l'Acropole!  Un vrai bonheur, à 5 mn des principaux monuments et musées, à proximité des restaurants et des bars où l'on peut déguster un bon déjeuner grec en contemplant le Panthéon.",2
2,5731498,31974621,2015-05-12,25774985,Sam,Lovely apartment. Host was helpful. Very clean. Great location. ,5
3,5731498,32256117,2015-05-16,27845791,Di,Our experience in George's house is really great. The house is in an wonderful location and the rooms are large. ,5
4,5731498,32659424,2015-05-19,33411612,Antonis,"Το σπιτάκι είναι εξαιρετικό, ανακαινισμένο, φωτεινό με μικρή εσσωτερική αυλή και πάνω απ όλα σε φανταστική περιοχή. Βρίσκεται μόνο δευτερόλεπτα μακριά από το μετρό Ακρόπολης και το Μουσείο.

Ο Γιώργος απάντησε άμεσα, το σπίτι ήταν πεντακάθαρο και όλα ήταν ομαλά. Σίγουρα θα ξαναπάω! ",3
5,5731498,33153814,2015-05-25,4158744,Turid Og Erling,"The apartment had a wonderful location in Plaka and was nice, clean and spatious! We didnt meet George but he was communicating politely in messages and offered transport at reasonable prices to/from airpot/port and the apartment. Unfortunately we did not get the message about how to turn on aircondition and hot water until the second day but his helper came and fixed it.",5
6,5731498,33458512,2015-05-28,9867287,Annie,"George was a great host and very quick in communicating. He helped secure transport to the airport and his driver was very friendly and prompt. Someone met us at the apartment to show us around and give restaurant suggestions. The location of this apartment could not be better as you are right in the Plaka on a pedestrian street and within a 2 minute walk of a back (and less crowded) entrance of the Acropolis. We had so much fun exploring all of the streets of the Plaka and trying many different cafes, restaurants and bars. You have to try the Gyros in Monastiraki Square which was an excellent place to people watch.

The apartment itself was wonderful. Very spacious, full of light and had everything we needed, even a hookah! The Acropoli Metro station was maybe 2 minutes away. We took the metro from the Ferry port which was an experience for sure!
Thanks for everything George!",5
7,5731498,33932927,2015-06-02,30841515,Tracey,"The house was wonderful - clean, well-appointed and in a great location in Plaka. Very close to the Acropolis Museum and the Acropolis itself. A bit noisy as the house is on a busy Plaka street. But this only adds to the atmosphere. We were a party of 5 and would stay here again. 
My only concern is the small size of the bathroom, but this is not major. ",5
8,5731498,34258600,2015-06-06,1929948,Ben,"This apartment was great!

We didn't meet George but his employee met us at the apartment and helped us get situated. It was in the center of all the heavy tourist action (just as we hoped), clean, and looked just like it does in the photos here. All the appliances and fixtures worked well, including the hot water and shower.

One thing to keep in mind: the apartment is on the ground floor and the bedrooms look out onto a busy, touristy street. This is, in my opinion, a great feature! However, street noise might be an issue for some. It didn't bother us at all but it is worth mentioning.",5
9,5731498,34554503,2015-06-09,21784822,David,"My family of 5 had a great experience spending three nights at George's Vyronos St flat in the Plaka. Location was even better than expected in a very clean upscale pedestrian only area.
Very easy access to the Acropolis. The Acropolis was a short block or two away. 
George was very responsive and easy to deal with. He arranged a reasonably priced airport transfer which was a welcome comfort after our long flight. Would definitely recommend our experience to others.",5
10,5731498,34784812,2015-06-12,32072646,Rick,Great location. Very clean. George arranged transfers from airport which was very helpful. Everything you need to see and great restaurants are all in walking distance.,5
11,5731498,35112068,2015-06-15,33278513,Mariana,"I had a wonderful stay at George's house in Plaka. The place is exactly as shown in the pictures, beautiful and impeccably clean. The house is very spacious and it's location couldn't be better. Plaka is one of the nicest neighbourhoods in Athens, with all major attractions at walking distance. George was very thoughtful and had everything organised for our late arrival (after midnight). He also gently accepted my request for a late check out. I would definitely recommend this place, not only for the amazing house but also for its thoughtful host.   ",5
